,RaT,Pr,RaS,Sc,x,Sbar,σSbar,Sp2,σSp2,chiS,σchiS,vxS,σvxS,vyS,σvyS,vzS,σvzS,Rρ,ν,κT,κS
0,-20000.0,1.0,10000000.0,10.0,0.00019231730761604116,-0.4975874541610944,0.00010016255771547159,1.1193301960753244e-06,2.1609411263834363e-07,0.018790092263000196,0.001843735648105671,-1.378324989470512e-09,4.226866451454164e-10,-0.0028680618592562693,0.000145251421615882,-5.1838748517928855e-06,3.452866633554981e-05,0.02,0.001,0.001,0.0001
1,-20000.0,1.0,10000000.0,10.0,0.0005916905415942475,-0.49257749753704183,0.00030811572711294627,1.0594997293923505e-05,2.0453668802622135e-06,0.018789479722568423,0.0018433056497910224,-1.6358736610837346e-08,4.693058183904617e-09,-0.004092553950770631,0.000208092288446617,-7.39891147628841e-06,4.9210757248165673e-05,0.02,0.001,0.001,0.0001
2,-20000.0,1.0,10000000.0,10.0,0.0010205287967936516,-0.4871980323918804,0.0005313586668083455,3.15161065825018e-05,6.083621582973512e-06,0.018787684849111638,0.0018425357070610913,-6.180829903113053e-08,1.7671462335174396e-08,-0.006159702727857395,0.0003184005570209373,-1.1280045719690219e-05,7.487475838909862e-05,0.02,0.001,0.001,0.0001
3,-20000.0,1.0,10000000.0,10.0,0.00147880677181636,-0.48144959063397025,0.0007698299637527286,6.616667346133323e-05,1.2769729307260422e-05,0.01878356021493954,0.0018410031004866697,-1.6719025664221319e-07,4.77208340539314e-08,-0.008866530528845454,0.0004651861101291348,-1.641583235204672e-05,0.0001087400195057886,0.02,0.001,0.001,0.0001
4,-20000.0,1.0,10000000.0,10.0,0.00196649742832522,-0.47533294655229774,0.0010234221617869857,0.00011697039749213407,2.2565935900076897e-05,0.01877545821678048,0.0018381732787192012,-3.758897452789031e-07,1.070554668903129e-07,-0.01174399317317746,0.0006247525804218146,-2.1955957930491016e-05,0.00014512818774498277,0.02,0.001,0.001,0.0001
5,-20000.0,1.0,10000000.0,10.0,0.0024835719926389888,-0.46884922362384235,0.0012919596916135371,0.0001864745058030735,3.5951108998919586e-05,0.018761341282464306,0.0018333822566220538,-7.423878958008456e-07,2.1080362909382445e-07,-0.014509461946699985,0.0007836426911682776,-2.7423849832488047e-05,0.00018085685901316465,0.02,0.001,0.001,0.0001
6,-20000.0,1.0,10000000.0,10.0,0.0030299999574298075,-0.4620000074790155,0.0015751770430939157,0.0002773254598246485,5.341055749735681e-05,0.018738735275107565,0.0018258304566559419,-1.3340199323825586e-06,3.7730802106784353e-07,-0.017272533332869617,0.0009477154081162459,-3.302053272452424e-05,0.0002172308693182472,0.02,0.001,0.001,0.0001
7,-20000.0,1.0,10000000.0,10.0,0.0036057490835232353,-0.45478750978786353,0.0018726871664637979,0.00039223333071840993,7.542114777371614e-05,0.01870460701826865,0.0018145599377634755,-2.235262777871753e-06,6.290518078089957e-07,-0.020031285370402527,0.0011170917939057553,-3.8748311733567585e-05,0.0002542353555794371,0.02,0.001,0.001,0.0001
8,-20000.0,1.0,10000000.0,10.0,0.004210785401800449,-0.4472147641596467,0.0021839450264316664,0.0005339217527769944,0.00010243072140535079,0.01865531882915036,0.001798466775975669,-3.5492902483314464e-06,9.926797785982733e-07,-0.02276584392066951,0.0012911166333577232,-4.458128648096308e-05,0.0002916670485055702,0.02,0.001,0.001,0.0001
9,-20000.0,1.0,10000000.0,10.0,0.004845073215202361,-0.4392858592973673,0.0025082063000338105,0.0007050601630308029,0.00013483101514111316,0.018586594294912277,0.0017763305781745727,-5.399803210047227e-06,1.4989325204612075e-06,-0.025455776046482748,0.001469096065281808,-5.0492417001583116e-05,0.00032931400775585784,0.02,0.001,0.001,0.0001
10,-20000.0,1.0,10000000.0,10.0,0.005508575100835633,-0.431006212121295,0.0028444820798830487,0.0009081752138298025,0.00017292380352892754,0.018493522854581737,0.0017468697231908935,-7.93246778885744e-06,2.1823057264429043e-06,-0.028084560061177963,0.001650182603891203,-5.645265152745006e-05,0.00036695474181906176,0.02,0.001,0.001,0.0001
